Country,Both sexes,Female,Male,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Panama,2.9,1.0,4.8,228.9,245.2,183.9,173.1,108.5,116.3,106.1,118.1,99.2,103.9,139.8,120.5,1743.5
Papua New Guinea,3.6,1.9,5.2,182.0,158.0,184.0,200.0,211.0,200.0,203.0,222.0,213.0,231.0,243.0,216.0,2463.0
Paraguay,6.2,3.3,9.0,276.0,246.0,254.0,228.0,205.0,165.0,195.0,223.0,204.0,242.0,270.0,295.0,2803.0
Peru,2.7,1.4,4.1,201.14999999999998,179.15,192.05,239.0,202.35000000000002,170.8,160.0,171.15,167.15,184.55,199.0,215.29999999999998,2281.65
Philippines,2.5,1.3,3.9,176.7,197.8,225.8,258.0,222.7,162.0,132.8,132.8,132.0,157.6,153.0,151.9,2103.1
Poland,9.3,2.4,16.5,43.0,59.0,115.0,150.0,211.0,237.0,226.0,214.0,153.0,99.0,39.0,25.0,1571.0
Portugal,7.2,3.5,11.6,146.33333333333334,150.33333333333334,211.33333333333334,234.0,287.6666666666667,303.0,343.0,330.3333333333333,252.66666666666666,208.0,159.0,144.66666666666666,2770.0
Puerto Rico,,,,237.4,231.2,282.0,268.3,255.2,259.4,280.8,267.8,234.7,227.2,202.4,217.4,2963.8
Qatar,4.7,1.7,5.7,,,,,,,,,,,,,
Republic of Korea,21.2,13.4,29.7,,,,,,,,,,,,,
Republic of Moldova,12.2,3.3,22.1,,,,,,,,,,,,,
Romania,7.3,2.4,12.6,71.0,85.0,140.0,186.0,245.0,267.0,288.0,282.0,225.0,177.0,87.0,62.0,2115.0
Russia,,,,74.5,108.3,178.9125,215.875,241.0125,242.0,253.6125,216.0,170.75,129.1625,83.5,60.2875,1972.7875
Russian Federation,21.6,7.2,38.2,,,,,,,,,,,,,
Rwanda,9.5,5.0,14.8,,,,,,,,,,,,,
